Theme,English,English meaning,Francais
"Management, stratégie et entrepreneuriat",approval,official agreement permitting something,"approbation, validation"
"Management, stratégie et entrepreneuriat",approve,formally accept or authorize,"approuver, valider"
"Management, stratégie et entrepreneuriat",articles of association,document defining a company's internal rules,statuts de la société
"Management, stratégie et entrepreneuriat",articulate,express ideas clearly and effectively,"formuler clairement, exprimer"
"Management, stratégie et entrepreneuriat",assertiveness,confident direct expression of one's position,"assertivité, affirmation de soi"
"Management, stratégie et entrepreneuriat",assess,"judge quality, value or extent","évaluer, jauger"
"Management, stratégie et entrepreneuriat",assessment,considered judgment of value or performance,évaluation
"Management, stratégie et entrepreneuriat",assign a task,give someone responsibility for work,"attribuer une tâche, confier une tâche"
"Management, stratégie et entrepreneuriat",assumption,something accepted as true without proof,"hypothèse, postulat"
"Management, stratégie et entrepreneuriat",attend a meeting,be present at formal discussion,assister à une réunion
"Management, stratégie et entrepreneuriat",attendee,person present at event or gathering,participant
"Management, stratégie et entrepreneuriat",attrition,gradual loss of staff without replacement,"attrition, érosion des effectifs"
"Management, stratégie et entrepreneuriat",audit committee,board group overseeing financial reporting,comité d'audit
"Management, stratégie et entrepreneuriat",authoritarian leadership,controlling style demanding strict obedience,leadership autoritaire
"Management, stratégie et entrepreneuriat",authority,legitimate power to decide and command,autorité
"Management, stratégie et entrepreneuriat",automate,make process run without human intervention,automatiser
"Management, stratégie et entrepreneuriat",automation,use of machines replacing manual work,automatisation
"Management, stratégie et entrepreneuriat",availability,extent to which someone or something is free,disponibilité
"Management, stratégie et entrepreneuriat",back,support financially or otherwise,"financer, soutenir"
"Management, stratégie et entrepreneuriat",back on track,returned to intended course,de nouveau sur les rails
"Management, stratégie et entrepreneuriat",backer,person providing financial support,"bailleur de fonds, soutien financier"
"Management, stratégie et entrepreneuriat",backlog,accumulated work or orders not yet completed,"backlog, carnet de tâches"
"Management, stratégie et entrepreneuriat",backward integration,acquiring control of one's suppliers,intégration en amont
"Management, stratégie et entrepreneuriat",balanced scorecard,framework tracking multiple performance perspectives,tableau de bord prospectif
"Management, stratégie et entrepreneuriat",barriers to entry,obstacles preventing new firms entering markets,barrières à l'entrée
"Management, stratégie et entrepreneuriat",behind schedule,later than planned timing,en retard sur le calendrier
"Management, stratégie et entrepreneuriat",belt-tightening,reduction of spending during hard times,"rigueur, tour de vis budgétaire"
"Management, stratégie et entrepreneuriat",benchmark,reference standard for measuring performance,"référence, point de comparaison"
"Management, stratégie et entrepreneuriat",benchmarking,comparing performance against leading standards,"analyse comparative, étalonnage"
"Management, stratégie et entrepreneuriat",best practices,methods proven most effective,bonnes pratiques
"Management, stratégie et entrepreneuriat",best-in-class,superior to all comparable offerings,"référence du secteur, de premier ordre"
"Management, stratégie et entrepreneuriat",beta version,pre-release product tested by users,version bêta
"Management, stratégie et entrepreneuriat",bias,systematic distortion in judgment,"biais, parti pris"
"Management, stratégie et entrepreneuriat",big picture,overall perspective ignoring details,"vision d'ensemble, vue globale"
"Management, stratégie et entrepreneuriat",blocker,obstacle halting progress on work,point bloquant
"Management, stratégie et entrepreneuriat",blue ocean strategy,creating uncontested new market space,stratégie océan bleu
"Management, stratégie et entrepreneuriat",board chairman,person presiding over a company's directors,président du conseil d'administration
"Management, stratégie et entrepreneuriat",board meeting,formal gathering of company directors,"réunion du conseil, séance du conseil d'administration"
"Management, stratégie et entrepreneuriat",board member,individual serving on a governing body,"administrateur, membre du conseil"
"Management, stratégie et entrepreneuriat",board membership,status of belonging to a governing body,mandat d'administrateur
"Management, stratégie et entrepreneuriat",board of directors,elected group governing a company,conseil d'administration
"Management, stratégie et entrepreneuriat",board seat,position on a governing body,siège au conseil d'administration
"Management, stratégie et entrepreneuriat",boardroom,room where directors meet,salle du conseil
"Management, stratégie et entrepreneuriat",body language,nonverbal communication through posture and gesture,langage corporel
"Management, stratégie et entrepreneuriat",bootstrap,build a business without external funding,s'autofinancer
"Management, stratégie et entrepreneuriat",bootstrapping,self-funding growth from internal revenues,"autofinancement, démarrage sans capitaux"
"Management, stratégie et entrepreneuriat",bottleneck,point limiting overall throughput,goulot d'étranglement
"Management, stratégie et entrepreneuriat",bottom-up approach,method starting from lower organizational levels,approche ascendante
"Management, stratégie et entrepreneuriat",brainstorm,generate ideas freely in group,faire un remue-méninges
"Management, stratégie et entrepreneuriat",brainstorming,group technique for producing many ideas,"remue-méninges, brainstorming"
"Management, stratégie et entrepreneuriat",branch,local office of a larger organization,"succursale, agence"
"Management, stratégie et entrepreneuriat",branch manager,person running a local office,"directeur d'agence, directeur de succursale"
"Management, stratégie et entrepreneuriat",break down silos,remove barriers between separate departments,décloisonner
"Management, stratégie et entrepreneuriat",break even,cover costs without profit or loss,"atteindre l'équilibre, rentrer dans ses frais"
"Management, stratégie et entrepreneuriat",break-even point,sales level where costs equal revenue,"seuil de rentabilité, point mort"
"Management, stratégie et entrepreneuriat",breakout session,small group discussion within larger event,atelier en sous-groupes
"Management, stratégie et entrepreneuriat",breakthrough,major sudden advance or discovery,"percée, avancée majeure"
"Management, stratégie et entrepreneuriat",brief,give essential information beforehand,"briefer, mettre au courant"
"Management, stratégie et entrepreneuriat",briefing,short informative session before action,"réunion d'information, briefing"
"Management, stratégie et entrepreneuriat",budget overrun,spending beyond planned financial limits,dépassement de budget
"Management, stratégie et entrepreneuriat",buffer,reserve margin protecting against variation,"marge de sécurité, tampon"
"Management, stratégie et entrepreneuriat",burn rate,speed at which cash reserves deplete,rythme de consommation de trésorerie
"Management, stratégie et entrepreneuriat",burnout,exhaustion caused by prolonged work stress,"épuisement professionnel, burn-out"
"Management, stratégie et entrepreneuriat",business ethics,moral principles guiding commercial conduct,éthique des affaires
"Management, stratégie et entrepreneuriat",business idea,concept for a potential commercial venture,idée d'entreprise
"Management, stratégie et entrepreneuriat",business model,way a firm creates and captures value,modèle économique
"Management, stratégie et entrepreneuriat",business plan,written document outlining venture strategy and finances,"plan d'affaires, business plan"
"Management, stratégie et entrepreneuriat",business process reengineering,radical redesign of core workflows,réingénierie des processus
"Management, stratégie et entrepreneuriat",business unit,semi-autonomous division within a company,unité opérationnelle
"Management, stratégie et entrepreneuriat",business venture,new commercial undertaking involving risk,projet d'entreprise
"Management, stratégie et entrepreneuriat",buy-in,acceptance and support from stakeholders,adhésion
"Management, stratégie et entrepreneuriat",buyout,purchase of controlling interest in a company,rachat
"Management, stratégie et entrepreneuriat",bylaws,internal rules governing an organization's operation,"règlement intérieur, statuts"
"Management, stratégie et entrepreneuriat",calendar invite,electronic request to attend scheduled event,invitation d'agenda
"Management, stratégie et entrepreneuriat",call a meeting,summon people to formal discussion,convoquer une réunion
"Management, stratégie et entrepreneuriat",cancel,decide something will not happen,annuler
"Management, stratégie et entrepreneuriat",cancellation,decision that a planned event won't occur,annulation
"Management, stratégie et entrepreneuriat",cap table,record of ownership shares in a startup,table de capitalisation
"Management, stratégie et entrepreneuriat",capacity,maximum output or workload possible,capacité
"Management, stratégie et entrepreneuriat",capacity planning,matching resources to expected demand,planification des capacités
"Management, stratégie et entrepreneuriat",career development,progressive growth of professional skills and roles,évolution professionnelle
"Management, stratégie et entrepreneuriat",career path,expected sequence of jobs over working life,"parcours professionnel, plan de carrière"
"Management, stratégie et entrepreneuriat",cash cow,mature product generating steady profits,vache à lait
"Management, stratégie et entrepreneuriat",casting vote,deciding ballot breaking a tie,voix prépondérante
"Management, stratégie et entrepreneuriat",catch up,reach the same level again,rattraper le retard
"Management, stratégie et entrepreneuriat",chain of command,hierarchy through which authority flows,"chaîne hiérarchique, voie hiérarchique"
"Management, stratégie et entrepreneuriat",chair a meeting,preside over formal discussion,présider une réunion
"Management, stratégie et entrepreneuriat",chairperson,presiding officer of board or committee,président de séance
"Management, stratégie et entrepreneuriat",challenger,firm competing against an established leader,"challenger, outsider"
"Management, stratégie et entrepreneuriat",change agent,person driving organizational transformation,acteur du changement
"Management, stratégie et entrepreneuriat",change management,structured handling of organizational transitions,conduite du changement
"Management, stratégie et entrepreneuriat",change request,formal proposal to modify agreed scope,demande de modification
"Management, stratégie et entrepreneuriat",charisma,compelling personal charm inspiring devotion,charisme
"Management, stratégie et entrepreneuriat",charismatic,possessing magnetic inspiring personal appeal,charismatique
"Management, stratégie et entrepreneuriat",checks and balances,mechanisms preventing concentration of power,"contre-pouvoirs, garde-fous"
"Management, stratégie et entrepreneuriat",chief executive officer,highest-ranking manager of a company,"président-directeur général, directeur général"
"Management, stratégie et entrepreneuriat",chief financial officer,senior executive responsible for finances,directeur financier
"Management, stratégie et entrepreneuriat",chief information officer,senior executive overseeing computing and data systems,directeur des systèmes d'information
"Management, stratégie et entrepreneuriat",chief operating officer,senior executive running daily operations,"directeur des opérations, directeur de l'exploitation"
"Management, stratégie et entrepreneuriat",chief technology officer,senior executive leading technical strategy,directeur technique
"Management, stratégie et entrepreneuriat",churn rate,proportion of customers lost per period,taux d'attrition
"Management, stratégie et entrepreneuriat",circulate,distribute documents among people,"faire circuler, diffuser"
"Management, stratégie et entrepreneuriat",clarification,explanation making something clearer,"éclaircissement, clarification"
"Management, stratégie et entrepreneuriat",clarify,make meaning easier to understand,"clarifier, préciser"
"Management, stratégie et entrepreneuriat",closing remarks,final comments ending a session,mot de la fin
"Management, stratégie et entrepreneuriat",closure,formal ending bringing sense of completion,clôture
"Management, stratégie et entrepreneuriat",co-founder,one of several people starting a venture,cofondateur
"Management, stratégie et entrepreneuriat",coach,guide someone toward improved performance,"coacher, accompagner"
"Management, stratégie et entrepreneuriat",coaching,one-to-one guidance developing skills,"coaching, accompagnement"
"Management, stratégie et entrepreneuriat",code of conduct,rules defining acceptable workplace behaviour,code de conduite
"Management, stratégie et entrepreneuriat",code of ethics,written statement of moral principles,"code de déontologie, charte éthique"
"Management, stratégie et entrepreneuriat",cohesion,state of sticking together as unit,cohésion
"Management, stratégie et entrepreneuriat",collaboration,working jointly toward shared goals,collaboration
"Management, stratégie et entrepreneuriat",collaborative,involving cooperative joint effort,collaboratif
"Management, stratégie et entrepreneuriat",colleague,person one works with,collègue
"Management, stratégie et entrepreneuriat",collective bargaining,union negotiation over pay and conditions,négociation collective
"Management, stratégie et entrepreneuriat",command respect,naturally inspire deference from others,imposer le respect
"Management, stratégie et entrepreneuriat",company values,core beliefs guiding organizational behaviour,valeurs de l'entreprise
"Management, stratégie et entrepreneuriat",competition,rivalry between firms for customers,concurrence
"Management, stratégie et entrepreneuriat",competitive advantage,quality letting a firm outperform rivals,avantage concurrentiel
"Management, stratégie et entrepreneuriat",competitive edge,slight superiority over market rivals,longueur d'avance sur la concurrence
"Management, stratégie et entrepreneuriat",competitive intelligence,gathered information about rival firms,veille concurrentielle
"Management, stratégie et entrepreneuriat",competitive landscape,overall structure of rivalry in a market,paysage concurrentiel
"Management, stratégie et entrepreneuriat",competitive moat,durable protection against rivals,avantage défendable
"Management, stratégie et entrepreneuriat",competitor,rival firm in the same market,concurrent
"Management, stratégie et entrepreneuriat",complacency,dangerous self-satisfaction blocking improvement,"autosatisfaction, complaisance"
"Management, stratégie et entrepreneuriat",compliance,conformity with rules and regulations,conformité
"Management, stratégie et entrepreneuriat",comply with,act in accordance with rules,"se conformer à, respecter"
"Management, stratégie et entrepreneuriat",concise,brief yet comprehensive in expression,concis
"Management, stratégie et entrepreneuriat",conference call,telephone discussion among several participants,conférence téléphonique
"Management, stratégie et entrepreneuriat",confirmation bias,favouring evidence supporting existing beliefs,biais de confirmation
"Management, stratégie et entrepreneuriat",conflict of interest,clash between personal gain and duty,conflit d'intérêts
"Management, stratégie et entrepreneuriat",conglomerate,group of diverse businesses under one owner,conglomérat
"Management, stratégie et entrepreneuriat",consensus,general agreement reached by a group,consensus
"Management, stratégie et entrepreneuriat",consolidation,merging of firms or strengthening of position,"consolidation, regroupement"
"Management, stratégie et entrepreneuriat",constraint,limitation restricting available options,contrainte
"Management, stratégie et entrepreneuriat",constructive criticism,helpful feedback aimed at improvement,critique constructive
"Management, stratégie et entrepreneuriat",contingency,possible future event requiring preparation,"imprévu, aléa"
"Management, stratégie et entrepreneuriat",contingency plan,backup course of action for emergencies,"plan de secours, plan d'urgence"
"Management, stratégie et entrepreneuriat",continuing education,ongoing training throughout working life,formation continue
"Management, stratégie et entrepreneuriat",continuous improvement,steady incremental enhancement of processes,amélioration continue
"Management, stratégie et entrepreneuriat",continuous learning,ongoing acquisition of new skills,apprentissage continu
"Management, stratégie et entrepreneuriat",controlling interest,shareholding large enough to direct a company,"participation majoritaire, contrôle majoritaire"
"Management, stratégie et entrepreneuriat",convene,bring people together for a meeting,convoquer
"Management, stratégie et entrepreneuriat",convey,communicate an idea or message,"transmettre, faire passer"
"Management, stratégie et entrepreneuriat",copycat,imitator of another firm's offering,"imitateur, suiveur"
"Management, stratégie et entrepreneuriat",core business,main revenue-generating activity of a firm,cœur de métier
"Management, stratégie et entrepreneuriat",core competency,distinctive capability underpinning competitiveness,"compétence clé, savoir-faire fondamental"
"Management, stratégie et entrepreneuriat",corporate culture,shared values and habits within an organization,culture d'entreprise
"Management, stratégie et entrepreneuriat",corporate governance,system by which companies are directed,gouvernance d'entreprise
"Management, stratégie et entrepreneuriat",corporate identity,visual and behavioural image of a firm,identité de l'entreprise
"Management, stratégie et entrepreneuriat",corporate social responsibility,voluntary commitment to societal and environmental good,responsabilité sociale des entreprises
"Management, stratégie et entrepreneuriat",corporate strategy,long-term plan for a whole organization,stratégie d'entreprise
"Management, stratégie et entrepreneuriat",corrective action,measure taken to fix an identified problem,action corrective
"Management, stratégie et entrepreneuriat",cost cutting,deliberate reduction of expenses,réduction des coûts
"Management, stratégie et entrepreneuriat",cost leadership,competing through lowest production expenses,domination par les coûts
"Management, stratégie et entrepreneuriat",cost overrun,expenditure exceeding the budgeted amount,dérapage des coûts
"Management, stratégie et entrepreneuriat",cost savings,money spared through efficiency measures,"économies, réduction de dépenses"
"Management, stratégie et entrepreneuriat",cost-benefit analysis,weighing expenses against expected gains,analyse coûts-avantages
"Management, stratégie et entrepreneuriat",counterproposal,alternative offer made in response,contre-proposition
"Management, stratégie et entrepreneuriat",course correction,adjustment of direction mid-project,correction de trajectoire
"Management, stratégie et entrepreneuriat",coworking space,shared office used by independent workers,espace de coworking
"Management, stratégie et entrepreneuriat",credibility,quality of being believed and trusted,crédibilité
"Management, stratégie et entrepreneuriat",critical path,longest sequence determining project duration,chemin critique
"Management, stratégie et entrepreneuriat",cross-functional team,group drawn from several departments,équipe transversale
"Management, stratégie et entrepreneuriat",crowdfunding,raising small sums from many people,financement participatif
"Management, stratégie et entrepreneuriat",crunch time,intense period before an important deadline,période de rush
"Management, stratégie et entrepreneuriat",customer acquisition,process of gaining new buyers,acquisition de clients
"Management, stratégie et entrepreneuriat",customer retention,keeping existing buyers loyal over time,fidélisation de la clientèle
"Management, stratégie et entrepreneuriat",cut costs,reduce spending to improve profitability,comprimer les coûts
"Management, stratégie et entrepreneuriat",dashboard,visual display of key metrics,tableau de bord
"Management, stratégie et entrepreneuriat",data-driven,guided by measured evidence rather than intuition,piloté par les données
"Management, stratégie et entrepreneuriat",deadline,latest time by which work must finish,"date limite, échéance"
"Management, stratégie et entrepreneuriat",debrief,question participants after a completed activity,"débriefer, faire le point à chaud"
"Management, stratégie et entrepreneuriat",debriefing,review session held after an event,"débriefing, retour à chaud"
"Management, stratégie et entrepreneuriat",decision tree,branching diagram mapping choices and outcomes,arbre de décision
"Management, stratégie et entrepreneuriat",decision-maker,person with authority to choose,décideur
"Management, stratégie et entrepreneuriat",decision-making,process of choosing among options,prise de décision
"Management, stratégie et entrepreneuriat",decision-making process,structured steps leading to a choice,processus décisionnel
"Management, stratégie et entrepreneuriat",decisiveness,ability to choose quickly and firmly,esprit de décision
"Management, stratégie et entrepreneuriat",deep dive,thorough detailed examination of a topic,analyse approfondie
"Management, stratégie et entrepreneuriat",defer a decision,postpone choosing until later,différer une décision
"Management, stratégie et entrepreneuriat",delayering,removing management levels from a hierarchy,aplatissement de la hiérarchie
"Management, stratégie et entrepreneuriat",delegate,entrust tasks to subordinates,déléguer
"Management, stratégie et entrepreneuriat",delegation,assignment of authority to others,délégation
"Management, stratégie et entrepreneuriat",delisting,removal of shares from a stock exchange,retrait de la cote
"Management, stratégie et entrepreneuriat",deliver on time,complete work by the agreed date,livrer dans les délais
"Management, stratégie et entrepreneuriat",deliverable,tangible output produced by a project,livrable
"Management, stratégie et entrepreneuriat",demerger,separation of a company into independent parts,scission
"Management, stratégie et entrepreneuriat",demo day,event where startups present to investors,journée de démonstration
"Management, stratégie et entrepreneuriat",department,functional subdivision of an organization,"service, département"
"Management, stratégie et entrepreneuriat",department head,manager leading a functional unit,"chef de service, chef de département"
"Management, stratégie et entrepreneuriat",dependency,task or item relying on another,dépendance
"Management, stratégie et entrepreneuriat",deputy,second-in-command supporting a superior,"adjoint, suppléant"
"Management, stratégie et entrepreneuriat",deputy managing director,second-in-command below the chief executive,directeur général adjoint
"Management, stratégie et entrepreneuriat",deviation,departure from a planned standard or norm,"écart, déviation"
"Management, stratégie et entrepreneuriat",dial in,join a call remotely by phone,se joindre à la conférence
"Management, stratégie et entrepreneuriat",differentiate,make an offering distinct from rivals,"se différencier, se démarquer"
"Management, stratégie et entrepreneuriat",differentiation,strategy of standing out from competitors,différenciation
"Management, stratégie et entrepreneuriat",digital transformation,reshaping business around new technologies,transformation numérique
"Management, stratégie et entrepreneuriat",digitalization,adoption of electronic technologies across operations,"numérisation, digitalisation"
"Management, stratégie et entrepreneuriat",digitize,convert information into electronic form,numériser
"Management, stratégie et entrepreneuriat",digress,stray from the main topic,"faire une digression, s'écarter du sujet"
"Management, stratégie et entrepreneuriat",dilution,reduction of ownership percentage from new shares,dilution du capital
"Management, stratégie et entrepreneuriat",direct report,employee supervised immediately by a manager,"subordonné direct, collaborateur direct"
"Management, stratégie et entrepreneuriat",disagree,hold a differing opinion,être en désaccord
"Management, stratégie et entrepreneuriat",disagreement,lack of consensus between parties,désaccord
"Management, stratégie et entrepreneuriat",disclosure,act of revealing material information,"divulgation, communication d'informations"
"Management, stratégie et entrepreneuriat",dismiss,terminate someone's employment,"démettre de ses fonctions, licencier"
"Management, stratégie et entrepreneuriat",dismissal,termination of an employee's contract,"licenciement, renvoi, révocation"
"Management, stratégie et entrepreneuriat",disrupt,radically upset established market patterns,"bouleverser, révolutionner"
"Management, stratégie et entrepreneuriat",disruption,major upheaval of existing arrangements,"bouleversement, disruption"
"Management, stratégie et entrepreneuriat",disruptive,radically changing an established market or practice,"disruptif, de rupture"
"Management, stratégie et entrepreneuriat",disruptor,firm overturning conventional industry practice,"acteur disruptif, trublion"
"Management, stratégie et entrepreneuriat",diversification,spreading activity across different markets,diversification
"Management, stratégie et entrepreneuriat",diversify,extend into varied products or markets,se diversifier
"Management, stratégie et entrepreneuriat",diversity and inclusion,policies valuing varied backgrounds and belonging,diversité et inclusion
"Management, stratégie et entrepreneuriat",divest,sell off part of a business,"céder, se désengager de"
"Management, stratégie et entrepreneuriat",divestment,disposal of assets or subsidiaries,"désinvestissement, cession d'actifs"
"Management, stratégie et entrepreneuriat",division,major operating branch of a company,"division, branche d'activité"
"Management, stratégie et entrepreneuriat",downsize,reduce workforce or scale of operations,réduire les effectifs
"Management, stratégie et entrepreneuriat",downsizing,cutting staff numbers to reduce costs,"réduction d'effectifs, dégraissage"
"Management, stratégie et entrepreneuriat",downtime,period when systems are not operating,"temps d'arrêt, interruption de service"
"Management, stratégie et entrepreneuriat",drill down,examine the underlying detail of data,entrer dans le détail
"Management, stratégie et entrepreneuriat",due diligence,thorough investigation before a transaction,"vérifications préalables, due diligence"
"Management, stratégie et entrepreneuriat",duty of care,legal obligation to act responsibly,devoir de diligence
"Management, stratégie et entrepreneuriat",early adopter,customer buying innovations before the mainstream,"utilisateur pionnier, primo-adoptant"
"Management, stratégie et entrepreneuriat",early retirement,leaving work before usual pension age,préretraite
"Management, stratégie et entrepreneuriat",economies of scale,cost advantages from larger production volume,économies d'échelle
"Management, stratégie et entrepreneuriat",effectiveness,degree to which aims are achieved,efficacité
"Management, stratégie et entrepreneuriat",efficiency,achieving output with minimal wasted resources,efficience
"Management, stratégie et entrepreneuriat",elaborate on,explain something in fuller detail,"développer, détailler"
"Management, stratégie et entrepreneuriat",elevator pitch,very short persuasive summary of an idea,argumentaire éclair
"Management, stratégie et entrepreneuriat",embrace change,accept transformation willingly,adhérer au changement
"Management, stratégie et entrepreneuriat",emerging markets,rapidly developing economies with growth potential,marchés émergents
"Management, stratégie et entrepreneuriat",emotional intelligence,skill in perceiving and managing feelings,intelligence émotionnelle
"Management, stratégie et entrepreneuriat",employee,person working for wages,"salarié, employé"
"Management, stratégie et entrepreneuriat",employee engagement,emotional commitment staff feel toward work,engagement des salariés
"Management, stratégie et entrepreneuriat",employee morale,general mood and confidence of staff,moral des équipes
"Management, stratégie et entrepreneuriat",employee retention,keeping valued staff from leaving,fidélisation des salariés
"Management, stratégie et entrepreneuriat",employee survey,questionnaire measuring staff opinions,"baromètre social, enquête interne"
"Management, stratégie et entrepreneuriat",employer,person or firm hiring workers,employeur
"Management, stratégie et entrepreneuriat",empower,give people authority and confidence to act,"responsabiliser, donner de l'autonomie"
"Management, stratégie et entrepreneuriat",empowerment,granting staff autonomy and decision power,"responsabilisation, autonomisation"
"Management, stratégie et entrepreneuriat",endorse,publicly declare support for,"avaliser, cautionner"
"Management, stratégie et entrepreneuriat",endorsement,public expression of approval or support,"aval, caution"
"Management, stratégie et entrepreneuriat",entrepreneur,person starting and running risky ventures,entrepreneur
"Management, stratégie et entrepreneuriat",entrepreneurial spirit,willingness to innovate and take risks,esprit d'entreprise
"Management, stratégie et entrepreneuriat",entrepreneurship,activity of creating and building businesses,entrepreneuriat
"Management, stratégie et entrepreneuriat",equal opportunity,fair treatment regardless of personal characteristics,égalité des chances
"Management, stratégie et entrepreneuriat",equity stake,ownership share held in a company,participation au capital
"Management, stratégie et entrepreneuriat",escalate,refer a problem to higher authority,faire remonter
"Management, stratégie et entrepreneuriat",escalation,passing an issue upward for resolution,"remontée, escalade"
"Management, stratégie et entrepreneuriat",evidence-based,founded on verified data and research,fondé sur des données probantes
"Management, stratégie et entrepreneuriat",execution,carrying out plans effectively,exécution
"Management, stratégie et entrepreneuriat",executive,senior manager with decision authority,"cadre dirigeant, dirigeant"
"Management, stratégie et entrepreneuriat",executive committee,small group of top managers governing operations,"comité exécutif, comité de direction"
"Management, stratégie et entrepreneuriat",executive pay,remuneration package of senior leaders,rémunération des dirigeants
"Management, stratégie et entrepreneuriat",exert authority,actively use one's power over others,exercer son autorité
"Management, stratégie et entrepreneuriat",exit,departure of an investor or founder from a venture,"sortie, cession"
"Management, stratégie et entrepreneuriat",exit interview,discussion held with a departing employee,entretien de départ
"Management, stratégie et entrepreneuriat",exit strategy,plan for leaving an investment or business,stratégie de sortie
"Management, stratégie et entrepreneuriat",expand,increase in size or reach,"se développer, s'étendre"
"Management, stratégie et entrepreneuriat",expansion,"growth in scale, output or territory","expansion, développement"
"Management, stratégie et entrepreneuriat",expedite,speed up a process,accélérer le traitement de
"Management, stratégie et entrepreneuriat",external growth,expansion through acquisitions or alliances,croissance externe
"Management, stratégie et entrepreneuriat",external hire,recruit brought in from outside,recrutement externe
"Management, stratégie et entrepreneuriat",extraordinary general meeting,special shareholder assembly outside the annual cycle,assemblée générale extraordinaire
"Management, stratégie et entrepreneuriat",fail fast,test quickly and abandon unpromising ideas,échouer vite pour apprendre vite
"Management, stratégie et entrepreneuriat",failure,lack of success in achieving aims,échec
"Management, stratégie et entrepreneuriat",fall behind,progress more slowly than planned,prendre du retard
"Management, stratégie et entrepreneuriat",fallback,alternative used if the first choice fails,solution de repli
"Management, stratégie et entrepreneuriat",family business,firm owned and run by relatives,entreprise familiale
"Management, stratégie et entrepreneuriat",fast-track,advance something more quickly than usual,"accélérer, mener en procédure accélérée"
"Management, stratégie et entrepreneuriat",feasibility study,analysis of whether a project is practicable,étude de faisabilité
"Management, stratégie et entrepreneuriat",feedback,information given about performance for improvement,"retour, commentaires"
"Management, stratégie et entrepreneuriat",feedback loop,cycle where results inform further action,boucle de rétroaction
